PROV,QUARTER,MW
10,2006Q1,
10,2006Q2,
10,2006Q3,
10,2006Q4,
11,2006Q1,
11,2006Q2,7.15
11,2006Q3,7.15
11,2006Q4,7.15
12,2006Q1,
12,2006Q2,7.15
12,2006Q3,7.15
12,2006Q4,7.15
13,2006Q1,
13,2006Q2,
13,2006Q3,
13,2006Q4,
24,2006Q1,
24,2006Q2,
24,2006Q3,
24,2006Q4,
35,2006Q1,7.75
35,2006Q2,7.75
35,2006Q3,7.75
35,2006Q4,7.75
46,2006Q1,
46,2006Q2,7.6
46,2006Q3,7.6
46,2006Q4,7.6
47,2006Q1,7.55
47,2006Q2,7.55
47,2006Q3,7.55
47,2006Q4,7.55
48,2006Q1,
48,2006Q2,
48,2006Q3,
48,2006Q4,
59,2006Q1,
59,2006Q2,
59,2006Q3,
59,2006Q4,
